    energy       Au-d_up     Au-d_down
  3.025296  2.387235e+00 -2.345341e+00
  3.091296  1.389544e+00 -1.244406e+00
  3.157296  1.559185e+00 -1.826857e+00
  3.223296  3.346905e+00 -3.473869e+00
  3.289296  2.806093e+00 -2.550457e+00
  3.355296  1.669865e+00 -1.640866e+00
  3.421296  2.101779e+00 -2.122999e+00
  3.487296  1.666000e+00 -1.493612e+00
  3.553296  6.420460e-01 -6.078913e-01
  3.619296  9.376880e-01 -9.484991e-01
  3.685296  9.729470e-01 -7.687732e-01
  3.751296  2.997071e-01 -1.556002e-01
  3.817296  3.718330e-01 -3.792014e-01
  3.883296  1.186732e+00 -1.248770e+00
  3.949296  1.892148e+00 -1.982703e+00
  4.015296  1.890579e+00 -1.909274e+00
  4.081296  1.847641e+00 -1.697129e+00
  4.147296  2.133455e+00 -1.799604e+00
  4.213296  1.574587e+00 -1.350780e+00
  4.279296  1.129156e+00 -1.126110e+00
  4.345296  9.795803e-01 -9.371077e-01
  4.411296  5.011279e-01 -4.499610e-01
  4.476296  5.080451e-01 -5.650266e-01
  4.542296  1.318785e+00 -1.452326e+00
  4.608296  2.161512e+00 -2.184405e+00
  4.674296  1.807870e+00 -1.684746e+00
  4.740296  1.614551e+00 -1.682384e+00
  4.806296  2.191653e+00 -2.539223e+00
  4.872296  1.387336e+00 -1.985629e+00
  4.938296  7.323862e-01 -1.076938e+00
  5.004296  7.348730e-01 -6.923143e-01
  5.070296  8.315970e-01 -9.790609e-01
  5.136296  1.361613e+00 -1.847292e+00
  5.202296  1.605612e+00 -1.965166e+00
  5.268296  1.142899e+00 -1.186108e+00
  5.334296  9.133768e-01 -9.498040e-01
  5.400296  1.463869e+00 -1.524606e+00
  5.466296  1.721831e+00 -1.664314e+00
  5.532296  1.084934e+00 -9.780890e-01
  5.598296  4.503451e-01 -4.320916e-01
  5.664296  3.781414e-01 -5.249718e-01
  5.730296  9.553310e-01 -1.128685e+00
  5.796296  1.430851e+00 -1.413198e+00
  5.862296  1.388378e+00 -1.352986e+00
  5.928296  1.117150e+00 -1.487374e+00
  5.994296  7.647450e-01 -1.447946e+00
  6.060296  4.099448e-01 -7.515890e-01
  6.126296  3.780284e-01 -4.219628e-01
  6.191296  7.577599e-01 -7.379395e-01
  6.257296  7.701439e-01 -7.054966e-01
  6.323296  1.171408e+00 -1.150784e+00
  6.389296  2.437267e+00 -2.154602e+00
  6.455296  2.094132e+00 -1.649341e+00
  6.521296  8.375080e-01 -9.247690e-01
  6.587296  7.079311e-01 -1.277287e+00
  6.653296  7.987188e-01 -1.127005e+00
  6.719296  4.272989e-01 -4.390688e-01
  6.785296  5.748151e-01 -5.381321e-01
  6.851296  1.146342e+00 -9.337743e-01
  6.917296  1.240886e+00 -1.083219e+00
  6.983296  1.240560e+00 -1.222833e+00
  7.049296  1.023688e+00 -9.461995e-01
  7.115296  6.092192e-01 -4.704610e-01
  7.181296  6.791426e-01 -4.426006e-01
  7.247296  1.000033e+00 -8.757948e-01
  7.313296  9.931740e-01 -1.025354e+00
  7.379296  8.058890e-01 -9.697070e-01
  7.445296  1.252053e+00 -1.263412e+00
  7.511296  1.526513e+00 -1.066498e+00
  7.577296  1.027108e+00 -8.015752e-01
  7.643296  1.122692e+00 -9.317360e-01
  7.709296  1.328387e+00 -8.631280e-01
  7.775296  9.264999e-01 -7.079047e-01
  7.840296  5.695951e-01 -6.186958e-01
  7.906296  4.561621e-01 -4.770388e-01
  7.972296  6.297011e-01 -5.116264e-01
  8.038296  6.383976e-01 -4.376998e-01
  8.104296  3.970061e-01 -3.238817e-01
  8.170296  3.575886e-01 -2.414734e-01
  8.236296  3.399818e-01 -1.568136e-01
  8.302296  3.203969e-01 -2.625858e-01
  8.368296  5.061138e-01 -6.974999e-01
  8.434296  7.673510e-01 -9.899300e-01
  8.500296  6.871440e-01 -5.069177e-01
  8.566296  3.569701e-01 -5.583771e-02
  8.632296  1.692506e-01 -2.623429e-02
  8.698296  5.566331e-02 -2.918734e-02
  8.764296 -4.823821e-03 -2.330921e-03
  8.830296 -5.542147e-03  2.395000e-03
  8.896296 -7.810094e-04  4.796178e-04
  8.962296 -3.751870e-05  2.876019e-05
  9.028296 -6.974210e-07  6.430362e-07
  9.094296 -5.221152e-09  5.683370e-09
  9.160296 -1.600366e-11  2.031964e-11
  9.226296 -2.026003e-14  2.971936e-14
  9.292296  0.000000e+00  1.716154e-17
  9.358296  0.000000e+00  0.000000e+00
  9.424296  0.000000e+00  0.000000e+00
  9.490296  0.000000e+00  0.000000e+00
  9.555296  0.000000e+00  0.000000e+00
  9.621296  0.000000e+00  0.000000e+00
