    energy       Pt-d_up     Pt-d_down
  4.965922  1.282606e+00 -9.483541e-01
  5.031922  9.706155e-01 -1.029984e+00
  5.097922  5.451942e-01 -1.488174e+00
  5.163922  2.120115e+00 -5.598785e-01
  5.229922  2.968430e+00 -7.839001e-01
  5.295922  1.919711e+00 -2.653465e+00
  5.361922  8.693081e-01 -2.800339e+00
  5.427922  2.926570e-02 -1.691585e+00
  5.493922  6.158510e-01 -6.154030e-01
  5.559922  3.164107e+00  1.797010e-02
  5.625922  4.614925e+00 -1.288334e+00
  5.691922  3.641488e+00 -3.614271e+00
  5.757922  2.150827e+00 -4.531676e+00
  5.823922  1.219288e+00 -3.641566e+00
  5.889922  9.593684e-01 -1.785225e+00
  5.955922  1.436423e+00 -9.780130e-01
  6.021922  1.841981e+00 -1.231801e+00
  6.087922  2.539821e+00 -1.667635e+00
  6.153922  3.480816e+00 -1.799410e+00
  6.219922  2.442684e+00 -2.901759e+00
  6.285922  1.174192e+00 -3.365826e+00
  6.351922  1.176585e+00 -2.056328e+00
  6.417922  1.947663e+00 -1.374753e+00
  6.483922  2.256902e+00 -1.632688e+00
  6.549922  2.175250e+00 -2.045750e+00
  6.615922  2.499437e+00 -2.190469e+00
  6.681922  2.293832e+00 -2.469490e+00
  6.747922  1.701247e+00 -2.621204e+00
  6.813922  1.926882e+00 -1.905154e+00
  6.879922  1.777979e+00 -1.543121e+00
  6.945922  1.072875e+00 -1.989554e+00
  7.011922  1.557446e+00 -1.590614e+00
  7.077922  1.917511e+00 -1.414810e+00
  7.143922  1.795102e+00 -1.973549e+00
  7.209922  1.414367e+00 -1.912423e+00
  7.275922  6.883499e-01 -1.367871e+00
  7.341922  1.556384e-01 -7.452661e-01
  7.407922 -7.160287e-02 -3.379095e-01
  7.473922  4.231479e-01 -6.969168e-02
  7.539922  1.471632e+00 -2.015626e-01
  7.605922  1.221497e+00 -9.867130e-01
  7.671922  1.882023e-01 -1.456176e+00
  7.737922 -8.273570e-02 -6.460014e-01
  7.803922 -7.259535e-03  1.636966e-02
  7.869922  1.350763e-01  4.670471e-02
  7.935922  1.927960e-01 -4.494081e-02
  8.001922  6.474263e-02 -1.012397e-01
  8.067922 -7.713234e-03 -4.876017e-02
  8.133922 -4.856806e-03  1.960451e-03
  8.199922 -4.923880e-04 -2.435191e-03
  8.265922 -1.705811e-05 -2.064788e-02
  8.331922 -2.269213e-07 -1.707215e-02
  8.397922 -1.206392e-09 -2.223735e-03
  8.463922 -2.610129e-12  1.079371e-03
