   energy  Pt-5d_up  Pt-5d_down  Propane_up  Propane_down
 -9.61202   0.00000     0.00000     0.00000       0.00000
 -9.58698   0.00000     0.00000     0.00000       0.00000
 -9.56195   0.00000     0.00000     0.00000       0.00000
 -9.53692   0.00000     0.00000     0.00000       0.00000
 -9.51189   0.00000     0.00000     0.00000       0.00000
 -9.48686   0.00000     0.00000     0.00000       0.00000
 -9.46183   0.00000     0.00000     0.00000       0.00000
 -9.43680   0.00000     0.00000     0.00000       0.00000
 -9.41176   0.00000     0.00000     0.00000       0.00000
 -9.38673   0.00000     0.00000     0.00000       0.00000
 -9.36170   0.00000     0.00000     0.00000       0.00000
 -9.33667   0.00000     0.00000     0.00000       0.00000
 -9.31164   0.00000     0.00000     0.00000       0.00000
 -9.28661   0.00000     0.00000     0.00000       0.00000
 -9.26158   0.00000     0.00000     0.00000       0.00000
 -9.23655   0.00000     0.00000     0.00000       0.00000
 -9.21151   0.00000     0.00000     0.00000       0.00000
 -9.18648   0.00000     0.00000     0.00000       0.00000
 -9.16145   0.00000     0.00000     0.00000       0.00000
 -9.13642   0.00000     0.00000     0.00000       0.00000
 -9.11139   0.00000     0.00000     0.00000       0.00000
 -9.08636   0.00000     0.00000     0.00000       0.00000
 -9.06133   0.00000     0.00000     0.00000       0.00000
 -9.03630   0.00000     0.00000     0.00000       0.00000
 -9.01126   0.00000     0.00000     0.00000       0.00000
 -8.98623   0.00000     0.00000     0.00000       0.00000
 -8.96120   0.00000     0.00000     0.00000       0.00000
 -8.93617   0.00000     0.00000     0.00000       0.00000
 -8.91114   0.00000     0.00000     0.00000       0.00000
 -8.88611   0.00000     0.00000     0.00000       0.00000
 -8.86108   0.00000     0.00000     0.00000       0.00000
 -8.83605   0.00000     0.00000     0.00000       0.00000
 -8.81101   0.00000     0.00000     0.00000       0.00000
 -8.78598   0.00000     0.00000     0.00000       0.00000
 -8.76095   0.00001     0.00000     0.00000       0.00000
 -8.73592   0.00003    -0.00003     0.00000       0.00000
 -8.71089   0.00006    -0.00006     0.00004      -0.00004
 -8.68586   0.00014    -0.00013     0.00012      -0.00012
 -8.66083   0.00032    -0.00030     0.00025      -0.00024
 -8.63579   0.00058    -0.00053     0.00050      -0.00050
 -8.61076   0.00099    -0.00094     0.00092      -0.00087
